Priority,Category,Organization,Name,Role / hook,Email guess (VERIFY),LinkedIn URL,Notes,Status
1,Lab safety,Anthropic,(safety team lead),Responsible Scaling Officer / RSP team,rsp@anthropic.com,,Verify email via Anthropic responsible-scaling page,
1,Lab safety,Anthropic,(researcher),Find current name leading RSP evaluations,,,Look up on Anthropic Research page,
1,Lab safety,OpenAI,(safety team lead),Preparedness team lead,,,LinkedIn search 'Preparedness OpenAI',
1,Lab safety,OpenAI,(safety researcher),Safety Advisory Group member,,,,
1,Lab safety,Google DeepMind,(safety team lead),Frontier Safety team / FSF lead,,,LinkedIn search 'Frontier Safety DeepMind',
1,Lab safety,Meta,(safety team lead),Outcomes-Led framework lead,,,LinkedIn search 'Meta AI safety policy',
1,Lab safety,Amazon,(safety team lead),Frontier Model Safety Framework lead,,,LinkedIn search 'Amazon frontier model safety',
1,Lab safety,Microsoft,(safety team lead),Office of Responsible AI,,,LinkedIn 'Office of Responsible AI Microsoft',
1,Lab safety,xAI,(safety team lead),xAI safety lead,,,,
1,Lab safety,Mistral,(safety team lead),Mistral safety / policy contact,,,LinkedIn search,
2,Lab safety,Cohere,(safety team lead),Responsible AI team,,,,
1,Pre-read,METR,(researcher),Common Elements primer author / eval researcher,research@metr.org,,Likely strong pre-reader,
1,Pre-read,Apollo Research,(researcher),Deception/eval researcher,,,Verify via Apollo team page,
1,Pre-read,GovAI,Markus Anderljung,Head of Policy,markus@governance.ai,,Has written on RSPs/safety frameworks,
1,Pre-read,GovAI,Toby Shevlane,Researcher,,,Has written on model release decisions,
1,Pre-read,GovAI,Lennart Heim,Researcher,,,Compute governance + frontier policy,
2,Pre-read,Centre for AI Safety,Dan Hendrycks,Director,,,,
2,Pre-read,IAPS,(researcher),Frontier governance researcher,,,iaps.ai team page,
2,Pre-read,RAND TASP,Helen Toner,Director / scholar,,,Former OpenAI board; has written on RSPs,
2,Pre-read,MIT Media Lab,Rishi Bommasani,Stanford CRFM,,,Foundation model transparency work,
2,Pre-read,Stanford CRFM,(researcher),Foundation Model Transparency Index team,,,Strong methodological reviewer,
1,Standards body,Frontier Model Forum,(program lead),Technical Reports series owner,info@frontiermodelforum.org,,Direct schema-input pitch,
1,Regulator,UK AISI,(research lead),Frontier eval team,info@aisi.gov.uk,,Verify program-lead emails,
1,Regulator,US AISI (NIST),(research lead),Frontier eval team,aisi@nist.gov,,,
2,Regulator,EU AI Office,(research lead),AI Office frontier team,,,EU Commission contact,
2,Regulator,Singapore IMDA,(research lead),AI Verify Foundation,,,,
2,Press,MIT Tech Review,(AI editor),AI policy desk,,,,
2,Press,FT AI desk,(reporter),AI policy reporter,,,,
2,Press,TechCrunch,(AI reporter),AI policy reporter,,,,
3,Press,Wired,(AI reporter),AI policy reporter,,,,
2,Academic,Stephen Casper,(MIT),AI safety / governance researcher,,,Likely strong pre-reader and reviewer,
2,Academic,Yoshua Bengio,(MILA),IDAIS chair,,,IDAIS/IAIS network,
